IATA,ICAO,Airline,Call sign,Country,Comments
,NKY,Aeromonkey,AEROMON,Mexico,
,AWP,Aeroworld Pakistan,,Pakistan,
,AGA,AG Air,GEOLINE,Georgia,
,ABZ,Air Ambulance Services,ISLAND LIFEFLIGHT,Bahamas,
,CNM,Air China Inner Mongolia,MENGYUAN,China,
,VRE,Air Côte d'Ivoire,COTE DIVORIE,Ivory Coast,
,AWL,Air Walser,,Malta,
,AXY,Air X Charter,,Malta,
,OES,ART Aviation,ART AUSTRIA,Austria,
,ASF,Austrian Air Force,AUSTRIAN AIRFORCE,Austria,
,AVG,Aviation Legacy,AVILEF,Gambia,
,AZY,Aztec Worldwide Airlines,AZTEC WORLD,United States,
,AAD,Aero Aviation Centre Ltd.,SUNRISE,Canada,Ceased operations 1995
,SII,Aero Servicios Ejecutivos Internacionales,ASEISA,Mexico,
,BZS,Aero Biniza,BINIZA,Mexico,
,ACO,Aero Comondu,AERO COMONDU,Mexico,
,AET,Aero-Palma,AERO PALMA,Spain,defunct
,ABM,Aero Albatros,ALBATROS ESPANA,Spain,
,AAM,Aviation Management Corporation,AM CORP,United States,
,AAO,Atlantis Airlines (USA),ATLANTIS AIR,United States,
,AAP,Aerovista Airlines,AEROVISTA GROUP,Kyrgyzstan,defunct
,AAU,Australia Asia Airlines,AUSTASIA,Australia,Subsidiary merged into QANTAS; former IATA code: IM
,AAV,Astro Air International,ASTRO-PHIL,United States,
,AAX,Afric'air Express,AFREX,Côte d'Ivoire,defunct
,BRL,Air Brasd'or,BRASD'OR,Canada,
,AFH,Air Fecteau,FECTO,Canada,defunct
,BRM,Air 500,BOOMERANG,Canada,defunct
,AAG,Atlantic Flight Training,ATLANTIC,United Kingdom,Changed from Air Atlantique in 2014[2]
,ACS,Air Cess,,Liberia,defunct
,ADT,Air Dorval,AIR DORVAL,Canada,defunct
,AHN,Air Hungaria,AIR HUNGARIA,Hungary,
,AHR,Air Adriatic,ADRIATIC,Croatia,defunct
,AHS,Air Viggi San Raffaele,AIRSAR,Italy,
,AEQ,Air Express,LUNA,Sweden,
,AAI,Air Aurora,BOREALIS,United States,Former IATA code: AX
,ACU,Air Cargo Transportation System,AFRISPIRIT,Kenya,
,ACV,Air Charter Service,,United Kingdom,ICAO code no longer allocated
,ADC,Air Atlantic Dominicana,ATLAN-DOMINICAN,Dominican Republic,defunct
,ADW,Air Andaman,AIR ANDAMAN,Thailand,defunct 2004
,ASW,Air Southwest Ltd.,AIRSOUTHWEST,Canada,defunct
,ASX,Air Special,AIRSPEC,Czech Republic,
,SFB,Air Sofia,AIR SOFIA,Bulgaria,defunct
,BRF,Air Bravo,AIR BRAVO,Uganda,
,ACG,Air Partner,AIR PARTNER,United Kingdom,
,VSG,AirClass Airways,VISIG,Spain,formerly Visig Operaciones Aéreas
,ALM,Air ALM,ANTILLEAN,Netherlands Antilles,defunct
,ALN,Air Lincoln,CHICAGO LINCOLN,United States,
,ACM,Air Caledonia,WEST CAL,Canada,
,AGM,Air Guam,AIR GUAM,United States,
,ALU,Air Luxor STP,LUXORJET,São Tomé and Príncipe,
,RSI,Air Sunshine,AIR SUNSHINE,United States,
,AFS,Air Data,,United Kingdom,
,AFV,Air Afrique Vacancies,AFRIQUE VACANCE,Côte d'Ivoire,
,AMG,Air Minas Linhas Aéreas,AIR MINAS,Brazil,defunct
,ANV,Air Nevada,AIR NEVADA,United States,
,AOE,Air One Executive,,Italy,
,AMI,Air Maldives,AIR MALDIVES,Maldives,defunct
,AMN,Air Montenegro,MONTENEGRO,Montenegro,
,TAH,Air Moorea,AIR MOOREA,France,defunct
,AVZ,Air Valencia,AIR VALENCIA,Spain,
,AMO,Air Montreal (Air Holdings Inc.),AIR MONTREAL,Canada,
,AMR,Air Specialties Corporation,AIR AM,United States,"Air American, Total Air"
,AMS,Air Muskoka,AIR MUSKOKA,Canada,
,AJU,Air Jetsul,AIRJETSUL,Portugal,
,AKA,Air Korea Co. Ltd.,,Republic of Korea,
,LIV,Air Livonia,LIVONIA,Estonia,defunct
,ABN,Air Fret Senegal,,Senegal,
,LJA,Air Jamahiriya Company,AIR JAMAHIRIYA,Libya,ICAO code no longer allocated
,MVM,Air Cargo America,PEGASUS,United States,
,AMY,Air Ambar,AIR AMBAR,Dominican Republic,
,AOU,Air Tractor,AIR TRACTOR,Croatia,
,APA,Air Park Aviation Ltd.,CAN-AM,Canada,
,APG,Air People International,AIR PEOPLE,Thailand,
,ANB,Air Navigation And Trading Co. Ltd.,AIR NAV,United Kingdom,Former ICAO code: AAT
,NGO,Air-Angol,AIR ANGOL,Angola,
,NGP,Air Nigeria,REGAL EAGLE,Nigeria,defunct
,SND,Air Samarkand,ARSAM,Uzbekistan,
,SNY,Air Sandy,AIR SANDY,Canada,
,AII,Air Integra,INTEGRA,Canada,
,BFF,Air Baffin,AIR BAFFIN,Canada,renamed to Air Nunavut
,BDM,Air Bandama,BANDAMA,Ivory Coast,
,ABT,Air Brousse,AIR BROUSSE,Canada,defunct
,APV,Air Plan International,AIR PLAN,Democratic Republic of the Congo,
,ARX,"Air Xpress, Inc.",AIREX,United States,
,HTT,Air Tchad,HOTEL TANGO,Chad,
,ARZ,Air Resorts,AIR RESORTS,United States,
,ASB,Air-Spray 1967 Ltd.,AIR SPRAY,Canada,
,ASC,Air Star Corporation,AIR STAR,Canada,
,AQN,Air Queensland,BUSHAIR,Australia,defunct
,ARC,Air Routing International Corp.,,United States,
,ABR,Air Contractors,CONTRACT,Ireland,Former IATA Code: AG; former name: Hunting Air Cargo Airlines
,AIL,Air Illinois,AIR ILLINOIS,United States,defunct
,AIG,Air Inter Gabon,,Gabon,
,ATJ,Air Traffic GmbH,SNOOPY,Germany,
,ATQ,Air Transport Schiphol,MULTI,Netherlands,
,ATS,Air Transport Service,,Democratic Republic of the Congo,
,AVG,Air Falcon,DJIBOUTI FALCON,Djibouti,
,AUX,Air Uganda International Ltd.,,Uganda,
,AIE,Air Inuit,AIR INUIT,Canada,
,AIS,Air Sureste,SURESTE,Spain,
,NSK,Air Intersalonika,INTERSALONIKA,Greece,
,NTL,Air Anatolia,AIR ANATOLIA,Turkey,defunct
,SGA,Air Saigon,AIR SAIGON,Vietnam,
,AFW,Afrique Regional Airways,AFRAIR,Côte d'Ivoire,defunct
,ACX,Air Charters,PARAIR,Canada,defunct
,AWN,Air Niamey,AIR NIAMEY,Niger,
,AWT,Air West,AIR WEST,Canada,
,AXD,Air Express,AIR SUDEX,Sudan,
,BSB,Air Wings,ARBAS,Moldova,
,ANI,Air Atlantic (Nig) Limited,NIGALANTIC,Nigeria,
,MHS,Air Memphis,AIR MEMPHIS,Egypt,
,AZF,Air Zermatt AG,AIR ZERMATT,Switzerland,
,MHU,Air Memphis,MEPHIS UGANDA,Uganda,
,MKH,Air Marrakech Service,AIR MARRAKECH,Morocco,
,AZX,Air Max Africa,AZIMA,Gabon,defunct
,ATA,Air Transport Association,,United States,
,XAC,Air Charter World,,United States,
,ATH,Air Travel Corp.,AIR TRAVEL,United States,
,ASJ,Air Satellite,SATELLITE,Canada,defunct
,ASN,Air and Sea Transport,,Russia,
,ASS,"Air Class, S.A. de C.V.",AIR CLASS,Mexico,
,NPL,Air Nepal International,AIR NEPAL,Nepal,defunct
,NPR,Air Napier,,New Zealand,
,WAM,Air Taxi & Cargo,TAXI CARGO,Sudan,
,RSM,Air Somalia,AIR SOMALIA,Somali Republic,
,AWZ,AirWest,,Sudan,
,AAZ,Angus Aviation,ANGUS,Canada,defunct
,ABA,Artem-Avia,ARTEM-AVIA,Ukraine,defunct
,ABB,African Business and Transportations,AFRICAN BUSINESS,Democratic Republic of the Congo,
,ABE,Aban Air,ABAN,Iran,Former IATA code: K5
,ABF,Aerial Oy,SKYWINGS,Finland,
,ABG,Abakan-Avia,ABAKAN-AVIA,Russia,
,ABJ,Abaeté Linhas Aéreas,,Brazil,
,ABK,Alberta Citylink,ALBERTA CITYLINK,Canada,"defunct, ICAO code no longer allocated"
,ABO,APSA Colombia,AEROEXPRESO,Colombia,aka Aeroexpreso Bogota
,ABU,Aerovías Bueno,AEROBUENO,Colombia,defunct
,ACR,"Aerocenter, Escuela de Formación de Pilotos Privados de Avión",AEROCENTER,Spain,
,ABZ,ATA Brasil,ATA-BRAZIL,Brazil,defunct
,ACC,Avcard Services,,United Kingdom,ICAO code no longer allocated
,ACD,Academy Airlines,ACADEMY,United States,
,ACY,Atlas Cargo Airlines,ATLAS CARGOLINES,Morocco,
,ADA,Airservices Australia,AUSCAL,Australia,Flight Inspection Unit
,ADB,Antonov Airlines,ANTONOV BUREAU,Ukraine,Antonov Design Bureau
,ADD,Advanced Air Co.,,Japan,ICAO Code no longer allocated
,ADE,Ada Air,ADA AIR,Albania,"defunct, former IATA code: ZY"
,ADG,Aerea Flying Training Organization,AEREA TRAINING,Spain,
,ADI,Audeli Air,AUDELI,Spain,
,ADJ,Abidjan Air Cargo,ABICAR,Côte d'Ivoire,defunct
,ADL,Aero Dynamics,COTSWOLD,United Kingdom,
,ADN,Aerodienst GmbH,AERODIENST,Germany,
,ADP,Aerodiplomatic,AERODIPLOMATIC,Mexico,
,ADY,Aerodyne,AERODYNE,United States,
,ADQ,Avion Taxi,AIR DATA,Canada,2695731 Canada Inc.
,ADS,Aviones de Sonora,SONORAV,Mexico,
,ADU,Airdeal Oy,AIRDEAL,Finland,
,ADV,Advance Air Charters,ADVANCE,Canada,defunct
,AEC,Aerocésar,AEROCESAR,Colombia,defunct; aka Aerovías del César
,AED,Aerotrans Airlines,,Russia,defunct
,ADX,Anderson Aviation,ANDAX,United States,
,AEG,Aerofumigaciones Sam,FUMIGACIONES SAM,Chile,defunct
,AEI,Aeroexpreso Interamericano,INTERAM,Colombia,defunct
,AEJ,Air Express,KHAKI EXPRESS,Tanzania,
,AEK,Aerocon,AEROCON,Bolivia,
,AEM,Aero Madrid,AEROMADRID,Spain,
,AEO,Aeroservicios Ejecutivos Del Occidente,AERO OCCIDENTE,Mexico,
,AEP,Aerotec Escuela de Pilotos,AEROTEC,Spain,
,AAK,Alaska Island Air,ALASKA ISLAND,United States,
,AAC,Army Air Corps,ARMYAIR,United Kingdom,
,AEV,Aeroventas,AEROVENTAS,Mexico,
,AEX,Airway Express,AVCO,United States,ICAO code no longer allocated
,AEZ,Aerial Transit,AERIAL TRANZ,United States,
,AFA,Alfa Air,BLUE ALFA,Czech Republic,
,UVS,Air Universal,UNI-LEONE,Sierra Leone,defunct
,UVT,Auvia Air,AUVIA,Indonesia,
,AFC,African West Air,AFRICAN WEST,Senegal,
,AFE,Airfast Indonesia,AIRFAST,Indonesia,
,AFK,Africa Air Links,AFRICA LINKS,Sierra Leone,
,AFO,Aero Empresa Mexicana,AERO EMPRESA,Mexico,
,AFQ,Alba Servizi Aerotrasporti,ALBA,Italy,
,AFY,Africa Chartered Services,AFRICA CHARTERED,Nigeria,
,AFZ,Africa Freight Services,AFREIGHT,Zambia,
,AGA,Aeronaves Del Centro,,Venezuela,
,AGC,Arab Agricultural Aviation Company,AGRICO,Egypt,
,AGF,Atlantic Gulf Airlines,ATLANTIC GULF,United States,defunct
,AGG,Algoma Airways,ALGOMA,Canada,ICAO code no longer allocated
,AGH,Altagna,ALTAGNA,France,
,AGO,Angola Air Charter,ANGOLA CHARTER,Angola,
,AGP,AERFI Group,AIR TARA,Ireland,
,AGQ,Aerogala,GALASERVICE,Chile,defunct
,AGU,Angara Airlines,SARMA,Russia,
,AGW,Aero Gambia,AERO GAMBIA,Gambia,"defunct, ICAO code no longer allocated"
,BLR,Atlantic Coast Airlines,BLUE RIDGE,United States,defunct
,BLZ,Aero Barloz,AEROLOZ,Mexico,
,BNB,Aero Banobras,AEROBANOBRAS,Mexico,
,AGY,Aero Flight Service,FLIGHT GROUP,United States,
,AGZ,Agrolet-Mci,AGROLET,Slovakia,
,AHC,Azal Avia Cargo,AZALAVIACARGO,Azerbaijan,Cargo Airline of the State Concern Azerbaijan Hava
,AHE,"Airport Helicopter Basel, Muller & Co.",AIRPORT HELICOPTER,Switzerland,
,CJE,Aeroservices Corporate,BIRD JET,France,
,AHF,Aspen Helicopters,ASPEN,United States,
,AHG,Aerochago Airlines,AEROCHAGO,Dominican Republic,defunct
,AHH,Airplanes Holdings,AIRHOLD,Ireland,
,AHP,Aerochiapas,AEROCHIAPAS,Mexico,
,AHU,ABC Air Hungary,ABC HUNGARY,Hungary,
,AIH,Alpine Air Chile,ALPINE CHILE,Chile,
,AIJ,ABC Aerolíneas,ABC AEROLINEAS,Mexico,
,AIK,African Airlines International Limited,AFRICAN AIRLINES,Kenya,
,AIN,African International Airways,FLY CARGO,Swaziland,
,AIU,Alicante Internacional Airlines,ALIA,Spain,
,ABP,ABS Jets,BAIR,Czech Republic,Named changed from Aba Air
,THM,Airmark Aviation,THAI AIRMARK,Thailand,
,AIR,Airlift International,AIRLIFT,United States,defunct
,AIT,Airest,,Estonia,
,AIV,Airvias S/A Linhas Aéreas,AIRVIAS,Brazil,
,AIW,Atlantic Island Airways,TARTAN,Canada,
,AIX,Aircruising Australia,CRUISER,Australia,
,AIY,Aircrew Check and Training Australia,AIRCREW,Australia,
,AJA,Afghan Jet International Airlines,AFGHAN JET,Afghanistan,
,AJB,Aero JBR,AERO JBR,Mexico,
,AJE,Aero Jet Express,JET EXPRESS,Mexico,defunct
,AJF,Avia Consult Flugbetriebs,AVIACONSULT,Austria,
,AJI,Ameristar Jet Charter,AMERISTAR,United States,
,AJK,Allied Air,BAMBI,Nigeria,
,AJO,Aero Ejecutivo,AEROEXO,Mexico,defunct
,AJP,Aero Jets Corporativos,AEROJETS,Mexico,
,AJS,Aeroejecutivos Colombia,AEROEJECUTIVOS,Colombia,Aeroejecutivos Aeroservicios Ejecutivos
,AJV,ANA & JP Express,AYJAY CARGO,Japan,merged into Air Japan
,AJW,Alpha Jet International,ALPHAJET,United States,
,AJY,AJet,AYJET,Cyprus,"defunct, ICAO code no longer allocated"
,AKB,Aktjubavia,KARAB,Kazakhstan,
,AKC,Arca Aerovías Colombianas Ltda.,ARCA,Colombia,
,AKF,Anikay Air Company,ANIKAY,Kyrgyzstan,
,AKH,Akhal,AKHAL,Turkmenistan,
,MNI,Aeromilenio,AEROMIL,Mexico,
,AKK,Aklak Air,AKLAK,Canada,
,AKN,Alkan Air,ALKAN AIR,Canada,
,AKW,Angkor Airways,ANGKORWAYS,Cambodia,defunct
,AKZ,AK Navigator LLC,ABSOLUTE,Kazakhstan,ICAO code no longer allocated
,ALB,Aero Albatros,ALBATROS,Mexico,
,ALD,Albion Aviation,ALBION,United Kingdom,
,ALE,Aeroalas Colombia,AEROALAS,Colombia,defunct
,ALF,Allied Command Europe (Mobile Force),ACEFORCE,Belgium,
,BTS,Aerotaxis Albatros,AEROLINEAS ALBATROS,Mexico,
,FYS,American Flyers,AMERICAN FLYERS,United States,
,DFA,Aero Coach Aviation,AERO COACH,United States,
,BVR,ACM Air Charter,BAVARIAN,Germany,
,ALG,Air Logistics,AIRLOG,United States,
,ALL,Aerovallarta,VALLARTA,Mexico,
,TNO,Aerotransporte de Carga Union,AEROUNION,Mexico,
,TND,Aero Taxis Cessna,TAXIS CESSNA,Mexico,
,TMP,Arizona Express Airlines,TEMPE,United States,
,ALO,Allegheny Commuter Airlines,ALLEGHENY,United States,US Airways Express
,ALP,Allpoints Jet,ALLPOINTS,China,
,ALP,Alpliner AG,ALPINER,Switzerland,Code now allocated to another user
,ALQ,Altair Aviation (1986),ALTAIR,Canada,
,ALW,"Alas Nacionales, S.A.",ALNACIONAL,Dominican Republic,
,ALY,Alyeska Air Service,ALYESKA,United States,
,ALZ,Alta Flights (Charters) Ltd.,,Canada,
,AMA,ATMA,ADIK,Kazakhstan,
,AMD,Aerolíneas Medellín,AEROLINEAS MEDELLIN,Colombia,defunct
,AMF,Ameriflight,AMFLIGHT,United States,
,AMH,Alan Mann Helicopters Ltd.,MANN,United Kingdom,ICAO code no longer allocated
,AMJ,Aviation Amos,AVIATION AMOS,Canada,
,AMK,Amerer Air,AMER AIR,Austria,
,AMM,Aeroputul International Marculesti,AEROM,Moldova,
,AMP,Aero Transporte S.A. (ATSA),ATSA,Peru,
,AMQ,Aeromedicare Ltd.,LIFELINE,United Kingdom,No longer current
,AMQ,Aircraft Management and Consulting,AMEX,Poland,
,AMV,AMC Airlines,,Egypt,Aircraft Maintenance Company
,AMZ,Amiya Airline,AMIYA AIR,Nigeria,
,ANC,Anglo Cargo,ANGLO,United Kingdom,"Defunct, ICAO code no longer allocated"
,BRP,AeroBratsk,AEROBRA,Russia,
,ANH,Alajnihah for Air Transport,ALAJNIHAH,Libya,
,ANM,Aerotransportacion de Norteamerica,NORAM,Mexico,
,ANM,"Antares Airtransport, Maintenance & Service GmbH",ANTARES,Germany,ICAO Code now allocated to an other user
,ANQ,Aerolínea de Antioquia,ANTIOQUIA,Colombia,
,ANW,"Aviación Del Noroeste, S.A. de C.V.",AVINOR,Mexico,defunct
,SAP,Avia Jaynar,TOBOL,Kazakhstan,
,EMS,Aero Servicios Empresariales,SERVIEMPRESARIAL,Mexico,
,AOA,"Alcon Servicios Aéreos, S.A. de C.V.",ALCON,Mexico,
,AOD,Aero Vodochody,AERO CZECH,Czech Republic,
,AOF,Atair Pty Ltd.,ATAIR,South Africa,
,MUN,Aeromundo Ejecutivo,AEROMUNDO,Mexico,
,MUR,Aerolínea Muri,MURI,Mexico,
,AOI,"Astoria, Inc.",ASTORIA,Canada,defunct
,NRO,Aero Rent JSC,AEROMASTER,Russia,defunct
,NRP,Aeronord-Grup,AERONORD,Moldova,
,AOK,Aeroatlantico Colombia,,Colombia,defunct
,AOL,Angkor Airlines,ANGKOR AIR,Cambodia,defunct
,AON,Aero Entreprise,AERO ENTERPRISE,France,
,AOO,"As, Opened Joint Stock Company",COMPANY AS,Ukraine,
,AOP,Aeropiloto,AEROPILOTO,Portugal,
,VIZ,Aerovis Airlines,AEROVIZ,Ukraine,
,VJE,AvJet Routing,,United Arab Emirates,
,VGF,Aerovista Gulf Express,VISTA GULF,United Arab Emirates,
,VER,Almaver,ALMAVER,Mexico,
,AOR,Afro International Ent. Limited,INTER-AFRO,Nigeria,
,SMX,Alitalia Express,ALIEXPRESS,Italy,
,AOV,Aero Vision,AEROVISION,France,
,AOX,Aerotaxi Del Valle,AEROVALLE,Colombia,
,APC,"Airpac Airlines, Inc.",AIRPAC,United States,
,SVM,Aeroservicios Monterrey,SERVIMONTE,Mexico,
,APF,Amapola Flyg AB,AMAPOLA,Sweden,
,APH,"Alpha Aviation, Inc.",AIRFLIGHT,United States,
,API,"ASA Pesada, Lda.",ASA PESADA,Angola,
,APJ,"Air Print, S.A.",AIR PRINT,Luxembourg,
,PET,Aerotransporte Petrolero,AEROPETRO,Colombia,
,BJT,ACM Aviation,BAY JET,United States,
,BKL,Aircompany Barcol,BARCOL,Russia,
,BLA,All Charter Limited,ALL CHARTER,United Kingdom,ICAO code no longer allocated
,APL,"Appalachian Flying Service, Inc.",APPALACHIAN,United States,
,APM,"Airpac, Inc.",ALASKA PACIFIC,United States,
,APO,Aeropro,AEROPRO,Canada,defunct
,APP,"Aerolíneas Pacífico Atlántico, S.A. (Apair)",AEROPERLAS,Panama,
,APQ,Aspen Aviation,ASPEN BASE,United States,
,APU,"Aeropuma, S.A.",AEROPUMA,El Salvador,
,APX,Apex Air Cargo,PARCEL EXPRESS,United States,
,APY,APA Internacional,APA INTERNACIONAL,Dominican Republic,
,AQA,"Aeroatlas, S.A.",ATCO,Colombia,
,AQL,Aquila Air Ltd.,AQUILA,Canada,
,AQO,Aluminum Company Of America,ALCOA SHUTTLE,United States,Alcoa Aircraft Operations
,AQT,"Aviones de Renta de Quintana Roo, S.A. de C.V.",AVIOQUINTANA,Mexico,
,AQU,AirQuarius Aviation,QUARIUS,South Africa,defunct
,AQZ,Aerodyne Charter Company,QUANZA,United States,
,ARA,Arik Air,ARIK AIR,Nigeria,
,ARB,Avia Air N.V.,AVIAIR,Aruba,
,ARH,Arrowhead Airways,ARROWHEAD,United States,
,ARI,Aero Vics,AEROVICS,Mexico,
,ARJ,"Aerojet de Costa Rica, S.A.",,Costa Rica,
,SUN,Antillana De Navegación Aérea,,Dominican Republic,
,SUO,Aeroservicios De San Luis,SERVICIO SANLUIS,Mexico,
,SUP,Aerosuper,AEROSUPER,Mexico,
,ARK,Aero Link Air Services S.L.,LINK SERVICE,Spain,
,ARL,Airlec - Air Aquitaine Transport,AIRLEC,France,
,ARM,Aeromarket Express,AMEX,Spain,defunct
,ARO,Arrow Aviation Ltd.,ARROW,Canada,defunct
,KLD,Air Klaip_da,AIR KLAIPEDA,Lithuania,
,ARQ,"Armstrong Air, Inc.",ARMSTRONG,Canada,
,ARS,Aeromet Servicios,METSERVICE,Chile,
,ART,Aerotal Aerolíneas Territoriales de Colombia Ltda.,AEROTAL,Colombia,
,ARV,Aravco Ltd.,ARAVCO,United Kingdom,
,ARW,Aria,ARIABIRD,France,
,OST,Airline Alania,ALANIA,Russia,
,HUC,Aerolíneas de Techuacán,LINEAS TEHUACAN,Mexico,
,HUT,Aerotransportes Huitzilin,AEROHUITZILIN,Mexico,
,HUY,Aero Transportes Del Humaya,AERO HUMAYA,Mexico,
,ARY,Argosy Airways,GOSEY,United States,
,ASF,"Air Schefferville, Inc.",SCHEFF,Canada,
,ASG,African Star Airways (PTY) Ltd.,AFRICAN STAR,South Africa,
,ASI,"Aerosun International, Inc.",AEROSUN,United States,
,ASM,Awesome Flight Services (PTY) Ltd.,AWESOME,South Africa,
,ASO,Aero Slovakia,AERO NITRA,Slovakia,
,ASP,Airsprint,AIRSPRINT,Canada,
,ASR,"All Star Airlines, Inc.",ALL STAR,United States,
,AST,Aerolíneas Del Oeste,AEROESTE,Mexico,
,NRE,Aviones Are,AVIONES ARE,Mexico,
,WAP,Arrow Panama,ARROW PANAMA,Panama,
,ASV,Astravia-Bissau Air Transports Ltd.,ASTRAVIA,Guinea-Bissau,
,ATB,Atlantair Ltd.,STARLITE,Canada,
,ATD,Aerotours Dominicana,AEROTOURS,Dominican Republic,
,ATE,"Atlantis Transportation Services, Ltd.",ATLANTIS CANADA,Canada,
,ATG,Aerotrans Airline,BACHYT,Kazakhstan,
,ATK,AeroTACA,AEROTACA,Colombia,"defunct, Aerotaxi Casanare"
,CPV,Air Corporate,AIRCORPORATE,Italy,
,ATP,ASTRAL Colombia - Aerotransportes Especiales Ltda.,ASTRAL,Colombia,
,FEO,Aeroferinco,FERINCO,Mexico,
,FES,Aero Taxis Y Servicios Alfe,AERO ALFE,Mexico,
,FFA,Avialesookhrana,AVIALESOOKHRANA,Russia,
,FFB,Africair Service,FOXTROT FOXTROT,Senegal,
,ATR,Atlas Airlines,ATLAS-AIR,United States,
,ATT,Aer Turas,AERTURAS,Ireland,defunct
,ATU,Atlant Aerobatics Ltd.,ATLANT HUNGARY,Hungary,
,ATV,Avanti Air,AVANTI AIR,Germany,
,ATW,Aero Trades (Western) Ltd.,AERO TRADES,Canada,"defunct, ICAO code no longer allocated"
,TUP,Aviastar-Tu,TUPOLEVAIR,Russia,
,TUR,ATUR,,Ecuador,
,TXU,ATESA Aerotaxis Ecuatorianos,ATESA,Ecuador,
,TXX,Austin Express,COWBOY,United States,defunct
,AUD,"Audi Air, Inc.",AUDI AIR,United States,
,AUF,Augusta Air Luftfahrtunternehmen,AUGUSTA,Germany,
,AUM,Air Atlantic Uruguay,ATLAMUR,Uruguay,
,AUN,Aviones Unidos,AVIONES UNIDOS,Mexico,
,AUP,Avia Business Group,,Russia,
,SVE,Aero Servicios Expecializados,AEROESPECIAL,Mexico,
,AUU,"Aurora Aviation, Inc.",AURORA AIR,United States,ICAO code no longer allocated
,AUY,"Aerolíneas Uruguayas, S.A.",AUSA,Uruguay,
,AVB,Aviation Beauport,BEAUPAIR,United Kingdom,
,AVF,Aviair Aviation Ltd.,CARIBOO,Canada,
,AVH,AV8 Helicopters,KENT HELI,United Kingdom,
,AVJ,Avia Traffic Company,ATOMIC,Kyrgyzstan,
,AVK,AV8 Helicopters,AVIATE-COPTER,South Africa,
,AVM,"Aviación Ejecutiva Mexicana, S.A.",AVEMEX,Mexico,
,AVO,Aviation at Work,AVIATION WORK,South Africa,
,AVP,Avcorp Registrations,AVCORP,United Kingdom,No longer used
,AVP,Aviacion Corporativa de Peubla,AVIA PUEBLA,Mexico,
,LFP,Alfa Aerospace,ALFA-SPACE,Australia,
,LFR,Atlantic Airfreight Aviation,LANFREIGHT,São Tomé and Príncipe,
,LFT,Aerolift Company,LIFTCO,Sierra Leone,defunct
,AVQ,"Aviation Services, Inc.",AQUILINE,United States,
